	TEMPERATURE DETAILS

Pc_id       peak_temp         Avg_temp
Set1/Set_1_m_4_U_50_n_20_tss_50.txt
 0               58            44
 1               52            44
 2               39            33
 3               53            38

 0               55            43
 1               50            43
 2               39            32
 3               46            36

 0               37            28
 1               30            25
 2               26            18
 3               29            21
 
 0               37            28
 1               30            25
 2               26            18
 3               29            20


Set1/Set_1_m_4_U_50_n_20_tss_60.txt
 0               62            52
 1               60            46
 2               64            50
 3               53            39
 
 0               59            51
 1               56            45
 2               58            48
 3               50            38
 
 0               47            43
 1               37            30
 2               38            33
 3               27            25
 
 0               46            43
 1               37            31
 2               37            33
 3               27            25
 
Set1/Set_1_m_4_U_50_n_20_tss_70.txt
 0               77            57
 1               88            57
 2               57            43
 3               73            53
 
 0               68            56
 1               84            56
 2               57            42
 3               66            51
 
 0               70            54
 1               46            33
 2               35            26
 3               37            37
 
 0               67            54
 1               46            33
 2               35            26
 3               37            37
 
Set1/Set_1_m_4_U_50_n_20_tss_80.txt
 0               78            62
 1               94            69
 2               70            50
 3               66            52
 
 0               72            60
 1               82            68
 2               64            48
 3               65            49
 
 0               61            51
 1               70            56
 2               36            33
 3               36            34
 
 0               57            50
 1               66            57
 2               36            34
 3               36            34
 
Set1/Set_1_m_4_U_50_n_20_tss_90.txt
 0               99            74
 1               89            66
 2               92            66
 3               87            56
 
 0               93            75
 1               79            66
 2               80            65
 3               87            56
 
 0               91            72
 1               54            45
 2               49            41
 3               51            51
 
 0               89            73
 1               53            45
 2               48            42
 3               51            51
 
Set1/Set_1_m_4_U_60_n_20_tss_50.txt
 0               58            43
 1               46            35
 2               63            42
 3               55            43
 
 0               55            43
 1               44            35
 2               60            40
 3               52            43
 
 0               55            43
 1               23            19
 2               39            28
 3               33            29
 
 0               53            43
 1               24            20
 2               39            28
 3               33            29
 
Set1/Set_1_m_4_U_60_n_20_tss_60.txt
 0               65            50
 1               70            53
 2               60            48
 3               58            43
 
 0               59            49
 1               68            52
 2               56            48
 3               53            41
 
 0               58            47
 1               44            36
 2               44            39
 3               29            27
 
 0               54            47
 1               44            36
 2               43            40
 3               29            28
 
Set1/Set_1_m_4_U_60_n_20_tss_70.txt
 0               78            56
 1               92            60
 2               74            52
 3               79            53
 
 0               74            56
 1               90            60
 2               69            50
 3               74            51
 
 0               67            52
 1               58            41
 2               46            34
 3               41            32
 
 0               67            52
 1               57            41
 2               45            34
 3               41            32
 
Set1/Set_1_m_4_U_60_n_20_tss_80.txt
 0               73            59
 1               100            72
 2               96            63
 3               25            25
 
 0               71            59
 1               94            74
 2               92            62
 3               25            25
 
 0               55            49
 1               100            72
 2               63            44
 3               -2147483647            0
 
 0               55            49
 1               94            74
 2               63            44
 3               -2147483647            0
 
Set1/Set_1_m_4_U_60_n_20_tss_90.txt
 0               89            75
 1               89            67
 2               94            67
 3               99            62
 
 0               85            74
 1               85            67
 2               91            66
 3               99            62
 
 0               85            75
 1               67            56
 2               59            48
 3               60            60
 
 0               83            75
 1               66            57
 2               59            48
 3               60            60
 
Set1/Set_1_m_4_U_70_n_20_tss_50.txt
 0               57            42
 1               63            44
 2               57            40
 3               55            40
 
 0               54            42
 1               60            44
 2               55            40
 3               53            41
 
 0               52            40
 1               57            42
 2               29            23
 3               32            26
 
 0               49            40
 1               55            43
 2               29            23
 3               32            27
 
Set1/Set_1_m_4_U_70_n_20_tss_60.txt
 0               83            52
 1               73            51
 2               68            45
 3               56            40
 
 0               81            52
 1               70            51
 2               67            45
 3               56            40
 
 0               71            48
 1               66            49
 2               58            41
 3               28            28
 
 0               70            49
 1               65            50
 2               58            42
 3               28            28
 
Set1/Set_1_m_4_U_70_n_20_tss_70.txt
 0               79            59
 1               88            62
 2               70            48
 3               88            60
 
 0               74            60
 1               85            62
 2               70            47
 3               84            58
 
 0               76            58
 1               75            58
